ID,Year,Round,RoundID,Motion,Motion_Chinese,High_or_low,High_or_low_coder1,High_or_low_coder1_reason,High_or_low_coder2,High_or_low_coder2_reason,10_categories,10_categories_coder1,10_categories_coder1_reason,10_categories_coder2,10_categories_coder2_reason
1,2025,Round 1,1,This House Prefers secondary schools adopting a classical education model rather than a progressive education model.,本院更倾向于中学采用古典主义教育模式而非进步主义教育模式。,1,1,Competing visions of the purpose of schooling (tradition/virtue vs. progressive aims) create core moral trade‑offs and culture‑war symbolism rather than a purely empirical dispute.,1,Involves fundamental value conflicts about education philosophy (tradition vs. progressivism) and what society should prioritize in child development.,9,9,Curriculum choice for secondary schools is squarely an education‑system question about formal learning and school governance.,9,"Directly concerns school curriculum and educational pedagogy, which falls under Domain 09's scope of ""School systems (public/private, curriculum, testing)."
2,2025,Round 2,2,This House Opposes confidence culture.,本院反对“自信文化”。,1,1,"Judging “confidence culture” is a normative cultural critique; disagreements hinge on values about authenticity, empowerment, and gender norms, not testable efficacy.",1,"Triggers moral trade-offs between individual empowerment and systemic analysis, with no expert consensus on normative questions about healthy self-concept.",8,8,"Rejecting “confidence culture” targets cultural norms and public discourse rather than a specific service market or welfare scheme, so it fits the cultural/expressive domain.",8,"Addresses cultural attitudes and social values, fitting Domain 08's focus on cultural affairs and symbolic/expressive activities."
3,2025,Round 3,3,This House Believes that US involvement in Panama has benefitted Panama.,本院认为，美国在巴拿马的介入使巴拿马受益。,0,1,Weighs sovereignty/justice against security/economic gains from U.S. involvement; identities and moral priorities drive disagreement more than facts.,0,"Primarily an empirical question that can be evaluated through economic data, development indicators, and historical analysis.",2,2,"Evaluating whether US involvement in Panama benefited Panama primarily implicates military interventions/basing and their consequences—i.e., foreign military policy.",1,"Concerns foreign policy and international cooperation, which Domain 01 explicitly includes under ""foreign economic aid and international cooperation"
4,2025,Round 4,4,This House Believes that feminists in Western Liberal Democracies should adopt reconciliatory rather than confrontational approaches in their advocacy.,本院认为，在西方自由民主国家，女权主义者在倡导时应采取和解的方式，而非对抗的方式。,1,1,Movement strategy (reconciliatory vs. confrontational) pits justice/urgency against social cohesion/civility and is identity‑salient within feminism.,1,"Involves deep strategic and philosophical conflicts within feminism about social change theory, representing competing legitimate value systems.",8,8,"Advice on advocacy style for feminist movements concerns tactics in the public sphere and symbolic/expressive politics, not a sectoral service.",8,"Addresses social movement strategy and cultural dynamics, fitting Domain 08's coverage of cultural and social affairs."
5,2025,Round 5,5,"This House Believes that the student organisers of the July Revolution should not transition into formal political roles (e.g., run for elected office, form their own political party).",本院认为，“七月革命”的学生组织者不应转型为正式的政治角色（例如：竞选公职、组建政党）。,0,1,"Post‑revolution role choices implicate legitimacy vs. stability and who wields power, creating distributional and moral conflicts.",0,A pragmatic question about effective political transition and governance strategy that can be informed by comparative political science.,1,1,Whether student revolution organizers should enter formal office concerns who occupies executive/legislative roles and party/electoral structuring—core governance.,1,"Directly concerns government structure and political participation, as Domain 01 covers ""Government structure and reform"" and how government itself operates."
6,2025,Round 6,6,This House Supports the rise of specialised private equity firms and funds that focus on specific sectors or geographies.,本院支持专注于特定领域或特定地区的专业化私募股权公司和基金的兴起。,0,0,"A market‑structure question about specialized PE is primarily empirical (efficiency, risk/return, sector expertise) and resolvable through evidence.",0,Technical financial market optimization question that can be evaluated through market efficiency analysis and portfolio theory.,4,4,"The rise of specialized PE firms is about capital markets, industry organization, and investment across sectors/geographies—an economic/industrial‑policy topic.",4,"Relates to financial markets and sectoral economic development, fitting Domain 04's coverage of ""industry"" and economic development."
7,2025,Round 7,7,This House Prefers the citizen welfare standard to the consumer welfare standard.,本院更倾向于“公民福利标准”而非“消费者福利标准”。,1,1,Citizen welfare vs. consumer welfare is a first‑order value choice (democratic power/broad welfare vs. price/efficiency) with no expert consensus on what to prioritize.,1,Fundamental conflict about economic justice philosophy where experts disagree on normative premises about what antitrust should prioritize.,4,4,"Choosing citizen‑ vs. consumer‑welfare standards sets the objective of competition/antitrust enforcement, which the codebook places under economic affairs.",4,"Concerns antitrust policy frameworks, which falls under Domain 04's ""competition regulation."""
8,2025,Round 8,8,This House Supports the use of La Mano Dura policies in areas with high crime rates in Latin America.,本院支持在拉丁美洲高犯罪率地区推行强硬治安/铁腕政策（La Mano Dura）。,1,1,"“La Mano Dura” pits public security against civil liberties/human rights, producing identity‑charged, zero‑sum perceptions.",1,"Core value conflict between security and civil liberties, creating clear distributional conflicts across social groups.",3,3,"“La Mano Dura” denotes punitive policing and criminal‑justice practices (police, courts, prisons)—the heart of public order and safety.",3,"""Iron fist"" tough-on-crime policies directly address criminal justice and crime prevention, core Domain 03 functions."
9,2025,Round 9,9,This House Believes that India should prioritise policies that aim to significantly reduce economic inequality rather than prioritise policies that aim to rapidly drive economic growth.,本院认为，印度应优先推行旨在大幅减少经济不平等的政策，而非优先推行旨在快速推动经济增长的政策。,1,1,Classic equality vs. growth trade‑off with clear winners/losers and fundamentally different national priorities.,1,Classic development dilemma involving explicit moral trade-offs between equality and efficiency with zero-sum perceptions.,10,10,The motion prioritizes inequality‑reduction/redistribution over aggregate growth; anti‑poverty and inequality aims are coded as social protection rather than macro‑growth.,10,"Emphasizes inequality reduction over growth, fitting the codebook's rule: ""code as 10 if anti-poverty focus, 04 if macroeconomic policy focus."""
10,2025,Partial Double-Octo Finals,10,This House Supports the widespread adoption of the Sankofa philosophy in West Africa.,本院支持在西非广泛推广Sankofa 哲学（阿坎语，意为“回首取经”）,1,1,"Advocating Sankofa as a guiding philosophy invokes cultural identity and symbolism (tradition vs. modernity), not a technical optimization question.",1,"Involves cultural identity and competing visions of modernity, central to postcolonial debates about development paths.",8,8,Sankofa is a cultural‑philosophical ethos; promoting its widespread adoption is best viewed as a cultural/heritage policy question.,8,"Concerns cultural philosophy and heritage values, fitting Domain 08's coverage of cultural services and heritage preservation."
11,2025,Octo Finals,11,This House Opposes the prominence of the trauma plot in media and art.,本院反对“创伤叙事”在媒体与艺术中的突出地位。,1,1,Cultural/identity stakes in how art should portray suffering; value-laden aesthetics with no expert settlement.,1," Involves value conflicts about artistic purpose, representation ethics, and cultural discourse around mental health and victimhood narratives.",8,8,It is a culture/media debate about artistic narratives and content rather than sectoral economics or education.,8,"Addresses trends in artistic and media content, fitting Domain 08's coverage of ""Cultural services, media regulation"" and cultural production."
12,2025,Quarter Finals,12,This House Believes that it is in the interest of the USA to significantly reduce the size and power of federal government agencies.,本院认为，美国有利益上的需要显著削减联邦政府机构的规模与权力。,1,1,Core ideological conflict over the state’s role (liberty vs. capacity) with partisan/identity alignment and distributional winners/losers.,1,"Classic ideological divide involving fundamental trade-offs between individual liberty and collective protection, government power vs. limited state.",1,1,"It targets the scope and structure of the executive/administrative state, i.e., how government operates at a cross‑cutting level.",1,"Directly concerns government structure and administrative reform, which Domain 01 explicitly covers under ""Government structure and reform (civil service, transparency, anti-corruption)."""
13,2025,Semi Finals,13,This House Would militarily intervene in Sudan.,本院将对苏丹进行军事干预。,1,1,Just-war vs. sovereignty/humanitarian duty trade‑offs; profound moral stakes and no decisive expert consensus on “should.”,1,"Triggers moral trade-offs in just war theory and responsibility to protect doctrine, involving sovereignty vs. humanitarian values.",2,2,Military intervention and peacekeeping are core defense functions involving armed forces and military operations.,2," Involves military operations and peacekeeping, which Domain 02 explicitly includes under ""Military defense, peacekeeping operations."""
