draw_id,debate_id,domain,order,session_lang,roles,models,motion_en,motion_zh,outfile,timestamp
001,20251108_230711,4,zh-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""GPT-5""}","Claude,Baidu,DeepSeek,GPT-5",This House would remove restrictions on interstate farm commerce in India.,本院将取消印度对州际农产品贸易的限制。,sessions/s001_zh_4_zhfirst_20251108_230711.txt,2025-11-08T23:10:13.633398
001,20251108_231014,4,zh-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""Baidu""}","GPT-5,DeepSeek,Claude,Baidu",This House would remove restrictions on interstate farm commerce in India.,本院将取消印度对州际农产品贸易的限制。,sessions/s001_en_4_zhfirst_20251108_231014.txt,2025-11-08T23:13:24.711850
002,20251108_231325,8,zh-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""GPT-5""}","Baidu,DeepSeek,Claude,GPT-5",THP (This House Prefers) a world where all individuals have a strong belief in Ubuntu.,本院更倾向于一个人人都坚信“乌班图（Ubuntu）”理念的世界（注：强调“我因我们而在”的群体互依）。,sessions/s002_zh_8_zhfirst_20251108_231325.txt,2025-11-08T23:15:10.154378
002,20251108_231511,8,zh-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Baidu""}","GPT-5,Claude,DeepSeek,Baidu",THP (This House Prefers) a world where all individuals have a strong belief in Ubuntu.,本院更倾向于一个人人都坚信“乌班图（Ubuntu）”理念的世界（注：强调“我因我们而在”的群体互依）。,sessions/s002_en_8_zhfirst_20251108_231511.txt,2025-11-08T23:17:55.018443
003,20251108_231756,3,zh-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""GPT-5""}","Baidu,Claude,DeepSeek,GPT-5",This House supports implementing a Pact of Forgetting in post-conflict states.,本院支持在后冲突国家推行“遗忘协定”（Pact of Forgetting）。,sessions/s003_zh_3_zhfirst_20251108_231756.txt,2025-11-08T23:20:30.312157
003,20251108_232031,3,zh-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Claude""}","GPT-5,Baidu,DeepSeek,Claude",This House supports implementing a Pact of Forgetting in post-conflict states.,本院支持在后冲突国家推行“遗忘协定”（Pact of Forgetting）。,sessions/s003_en_3_zhfirst_20251108_232031.txt,2025-11-08T23:26:43.479637
004,20251108_232644,7,zh-first,zh,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","Baidu,GPT-5,Claude,DeepSeek",This House prefers the integrated model to the specialty model.,本院更倾向于综合（通科）模式而非专科模式。,sessions/s004_zh_7_zhfirst_20251108_232644.txt,2025-11-08T23:29:13.455280
004,20251108_232914,7,zh-first,en,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""GPT-5""}","Claude,Baidu,DeepSeek,GPT-5",This House prefers the integrated model to the specialty model.,本院更倾向于综合（通科）模式而非专科模式。,sessions/s004_en_7_zhfirst_20251108_232914.txt,2025-11-08T23:31:15.323543
005,20251108_233116,9,zh-first,zh,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""DeepSeek""}","GPT-5,Baidu,Claude,DeepSeek",THBT (This House Believes That) education systems in Africa should emphasise pan-African history and identities rather than national ones.,本院认为，非洲的教育体系应当强调泛非历史与身份认同，而非国家历史与身份。,sessions/s005_zh_9_zhfirst_20251108_233116.txt,2025-11-08T23:33:35.265391
005,20251108_233336,9,zh-first,en,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""DeepSeek""}","Claude,GPT-5,Baidu,DeepSeek",THBT (This House Believes That) education systems in Africa should emphasise pan-African history and identities rather than national ones.,本院认为，非洲的教育体系应当强调泛非历史与身份认同，而非国家历史与身份。,sessions/s005_en_9_zhfirst_20251108_233336.txt,2025-11-08T23:37:46.416228
006,20251108_233747,1,en-first,en,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""DeepSeek""}","Baidu,Claude,GPT-5,DeepSeek",This House Supports the shift away from the traditional left-right spectrum in the politics of major democracies.,本院支持主要民主国家的政治脱离传统的左右翼光谱划分。,sessions/s006_en_1_enfirst_20251108_233747.txt,2025-11-08T23:42:46.865423
006,20251108_234248,1,en-first,zh,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""Baidu""}","DeepSeek,Claude,GPT-5,Baidu",This House Supports the shift away from the traditional left-right spectrum in the politics of major democracies.,本院支持主要民主国家的政治脱离传统的左右翼光谱划分。,sessions/s006_zh_1_enfirst_20251108_234248.txt,2025-11-08T23:45:59.525692
007,20251108_234600,4,zh-first,zh,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""DeepSeek""}","GPT-5,Claude,Baidu,DeepSeek",THBT (This House Believes That) The Pacific Alliance should introduce a common currency. ,本院认为，太平洋联盟应当引入共同货币。,sessions/s007_zh_4_zhfirst_20251108_234600.txt,2025-11-08T23:48:17.063796
007,20251108_234818,4,zh-first,en,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""Baidu"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""DeepSeek""}","Claude,Baidu,GPT-5,DeepSeek",THBT (This House Believes That) The Pacific Alliance should introduce a common currency. ,本院认为，太平洋联盟应当引入共同货币。,sessions/s007_en_4_zhfirst_20251108_234818.txt,2025-11-08T23:51:25.049884
008,20251108_235126,8,en-first,en,"{""Pro First Speaker"": ""Baidu"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""GPT-5""}","Baidu,DeepSeek,Claude,GPT-5",This House Opposes confidence culture.,本院反对“自信文化”。,sessions/s008_en_8_enfirst_20251108_235126.txt,2025-11-08T23:55:20.755412
008,20251108_235522,8,en-first,zh,"{""Pro First Speaker"": ""DeepSeek"", ""Con First Speaker"": ""GPT-5"", ""Pro Second Speaker"": ""Claude"", ""Con Second Speaker"": ""Baidu""}","DeepSeek,GPT-5,Claude,Baidu",This House Opposes confidence culture.,本院反对“自信文化”。,sessions/s008_zh_8_enfirst_20251108_235522.txt,2025-11-08T23:58:27.043736
009,20251108_235828,1,zh-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""GPT-5"", ""Con Second Speaker"": ""Baidu""}","Claude,DeepSeek,GPT-5,Baidu","This House Believes that the student organisers of the July Revolution should not transition into formal political roles (e.g., run for elected office, form their own political party).",本院认为，“七月革命”的学生组织者不应转型为正式的政治角色（例如：竞选公职、组建政党）。,sessions/s009_zh_1_zhfirst_20251108_235828.txt,2025-11-09T00:00:52.183667
009,20251109_000053,1,zh-first,en,"{""Pro First Speaker"": ""GPT-5"", ""Con First Speaker"": ""Claude"", ""Pro Second Speaker"": ""DeepSeek"", ""Con Second Speaker"": ""Baidu""}","GPT-5,Claude,DeepSeek,Baidu","This House Believes that the student organisers of the July Revolution should not transition into formal political roles (e.g., run for elected office, form their own political party).",本院认为，“七月革命”的学生组织者不应转型为正式的政治角色（例如：竞选公职、组建政党）。,sessions/s009_en_1_zhfirst_20251109_000053.txt,2025-11-09T00:04:08.429532
010,20251109_000409,8,zh-first,zh,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""GPT-5""}","Claude,DeepSeek,Baidu,GPT-5",This House Opposes the prominence of the trauma plot in media and art.,本院反对“创伤叙事”在媒体与艺术中的突出地位。,sessions/s010_zh_8_zhfirst_20251109_000409.txt,2025-11-09T00:07:13.504427
010,20251109_000714,8,zh-first,en,"{""Pro First Speaker"": ""Claude"", ""Con First Speaker"": ""DeepSeek"", ""Pro Second Speaker"": ""Baidu"", ""Con Second Speaker"": ""GPT-5""}","Claude,DeepSeek,Baidu,GPT-5",This House Opposes the prominence of the trauma plot in media and art.,本院反对“创伤叙事”在媒体与艺术中的突出地位。,sessions/s010_en_8_zhfirst_20251109_000714.txt,2025-11-09T00:09:34.850450
