ID,Year,Round,RoundID,Motion,Motion_Chinese
1,2025,Round 1,1,This House Prefers secondary schools adopting a classical education model rather than a progressive education model.,本院更倾向于中学采用古典主义教育模式而非进步主义教育模式。
2,2025,Round 2,2,This House Opposes confidence culture.,本院反对“自信文化”。
3,2025,Round 3,3,This House Believes that US involvement in Panama has benefitted Panama.,本院认为，美国在巴拿马的介入使巴拿马受益。
4,2025,Round 4,4,This House Believes that feminists in Western Liberal Democracies should adopt reconciliatory rather than confrontational approaches in their advocacy.,本院认为，在西方自由民主国家，女权主义者在倡导时应采取和解的方式，而非对抗的方式。
5,2025,Round 5,5,"This House Believes that the student organisers of the July Revolution should not transition into formal political roles (e.g., run for elected office, form their own political party).",本院认为，“七月革命”的学生组织者不应转型为正式的政治角色（例如：竞选公职、组建政党）。
6,2025,Round 6,6,This House Supports the rise of specialised private equity firms and funds that focus on specific sectors or geographies.,本院支持专注于特定领域或特定地区的专业化私募股权公司和基金的兴起。
7,2025,Round 7,7,This House Prefers the citizen welfare standard to the consumer welfare standard.,本院更倾向于“公民福利标准”而非“消费者福利标准”。
8,2025,Round 8,8,This House Supports the use of La Mano Dura policies in areas with high crime rates in Latin America.,本院支持在拉丁美洲高犯罪率地区推行强硬治安/铁腕政策（La Mano Dura）。
9,2025,Round 9,9,This House Believes that India should prioritise policies that aim to significantly reduce economic inequality rather than prioritise policies that aim to rapidly drive economic growth.,本院认为，印度应优先推行旨在大幅减少经济不平等的政策，而非优先推行旨在快速推动经济增长的政策。
10,2025,Partial Double-Octo Finals,10,This House Supports the widespread adoption of the Sankofa philosophy in West Africa.,本院支持在西非广泛推广Sankofa 哲学（阿坎语，意为“回首取经”）
11,2025,Octo Finals,11,This House Opposes the prominence of the trauma plot in media and art.,本院反对“创伤叙事”在媒体与艺术中的突出地位。
12,2025,Quarter Finals,12,This House Believes that it is in the interest of the USA to significantly reduce the size and power of federal government agencies.,本院认为，美国有利益上的需要显著削减联邦政府机构的规模与权力。
13,2025,Semi Finals,13,This House Would militarily intervene in Sudan.,本院将对苏丹进行军事干预。
14,2025,Grand Final,14,This House Supports the shift away from the traditional left-right spectrum in the politics of major democracies.,本院支持主要民主国家的政治脱离传统的左右翼光谱划分。
15,2025,"ESL Semi Finals
",16,This House Opposes the increased shift to subscription based business models.,本院反对商业模式日益转向订阅制。
16,2025,"ESL Grand Finals
",17,"This House, as the Holy See, would adopt the ""two-speed Church"" policy.",本院，作为圣座，将采纳“双速教会”政策。
17,2025,"ESL Grand Finals
",17,This House Believes That Trumpism is in the long-term interest of the Republican Party.,本院认为，“特朗普主义”符合共和党的长期利益。
18,2024,Round 1,1,"This House believes that education systems should over-inflate children’s academic self-perception (e.g. providing overwhelmingly positive feedback, avoiding fail grades, etc.).",本院认为，教育体系应当刻意夸大儿童/学生的学业自我认知（例如：给予极度正面的反馈、避免不及格分数等）。
19,2024,Round 2,2,This House prefers the integrated model to the specialty model.,本院更倾向于综合（通科）模式而非专科模式。
20,2024,Round 3,3,This House believes that opposition parties in illiberal democracies should strongly pivot towards empowering women as the primary focus of their campaign.,本院认为，在非自由民主国家，反对党应当将赋权于女性作为竞选的主要焦点。
21,2024,Round 4,4,This House supports the remilitarisation of Japan.,本院支持日本再军事化。
22,2024,Round 5,5,This House prefers reactive to proactive EMS enforcement.,本院更倾向于反应式（事后/应对型）而非主动式（事前/预防型）的应急医疗服务（EMS）监管/执法。
23,2024,Round 6,6,This House supports Centrist Compacts.,本院支持“中间派协定”（Centrist Compacts）。
24,2024,Round 8,8,THBT central banks should “lean against the wind”.,本院认为，各国央行应当采取“逆风操作”（逆周期调节，lean against the wind）
25,2024,Round 9,9,This House supports a norm against self-pity.,本院支持反对自怜的社会规范。
26,2024,Partial Double-Octo Finals,10,This House would remove restrictions on interstate farm commerce in India.,本院将取消印度对州际农产品贸易的限制。
27,2024,Octo Finals,11,This House opposes the stigma against laziness,本院反对对“懒惰”的污名化。
28,2024,Quarter Finals,12,This House supports implementing a Pact of Forgetting in post-conflict states.,本院支持在后冲突国家推行“遗忘协定”（Pact of Forgetting）。
29,2024,Semi Finals,13,This House would ban vulture funds from suing countries whose debt they have purchased.,本院将禁止秃鹫基金（vulture funds）起诉其所购债务所属的国家。
30,2024,Grand Final,14,This House opposes the norm to prefer the natural to the artificial.,本院反对偏好“天然”甚于“人工”的社会规范。
